filename,width,height,class,xmin,ymin,xmax,ymax
armas (1208).jpg.rf.39b09d4060be165ccb4b2bc5607942a9.jpg,416,416,pistol,95,154,392,375
armas (1208).jpg.rf.39b09d4060be165ccb4b2bc5607942a9.jpg,416,416,pistol,13,5,286,303
armas (1209).jpg.rf.919e880a23d2678f84e5dab4721ff551.jpg,416,416,pistol,105,16,407,281
armas (1210).jpg.rf.60a21f22651671f96e4bb88883fa8f2a.jpg,416,416,pistol,10,7,413,357
armas (1211).jpg.rf.567faadd8fcd4388e3c88acfd94513f1.jpg,416,416,pistol,7,13,409,363
armas (1212).jpg.rf.bb560d05f2d2238e9333f41fa461dcea.jpg,416,416,pistol,11,4,395,395
armas (1213).jpg.rf.ef7b802d10e558f4ae0aa180492196b7.jpg,416,416,pistol,64,1,366,312
armas (1214).jpg.rf.6d7303dca9eb39b2f827377d2378d36c.jpg,416,416,pistol,192,1,415,278
armas (1215).jpg.rf.7bac8b177fed56d4053af637ed9c7597.jpg,416,416,pistol,1,283,151,340
armas (1216).jpg.rf.827c62c00132268727af0e0355a5a808.jpg,416,416,pistol,1,4,412,407
armas (1217).jpg.rf.68012be0cb73bc14b3933e876966e527.jpg,416,416,pistol,72,90,166,210
armas (1218).jpg.rf.7b7399d4e9afff9436609a34b8eab9d8.jpg,416,416,pistol,65,91,336,377
armas (1219).jpg.rf.c9a492f6aad4bb2a8a7b63eb9119cff0.jpg,416,416,pistol,65,55,307,250
armas (1220).jpg.rf.440757f1b55703f324eccf39972269ca.jpg,416,416,pistol,123,151,274,296
armas (1221).jpg.rf.d2ac9f63596da252d3655a5b54e416af.jpg,416,416,pistol,22,76,116,103
armas (1222).jpg.rf.4572b59458c25b36c3279921ec935312.jpg,416,416,pistol,47,57,336,367
armas (1223).jpg.rf.67f0bac90f5bd14f491bbc0801024677.jpg,416,416,pistol,144,25,397,382
armas (1224).jpg.rf.3d9d5efdfd53143425c977c1a5006638.jpg,416,416,pistol,4,36,390,389
armas (1225).jpg.rf.5fafe8348e8d760941e8019f724147f5.jpg,416,416,pistol,139,257,221,321
armas (1225).jpg.rf.5fafe8348e8d760941e8019f724147f5.jpg,416,416,pistol,204,298,305,359
armas (1226).jpg.rf.e256ae21f5a3eaec1e7cb4239bf43c21.jpg,416,416,pistol,230,121,274,166
armas (1226).jpg.rf.e256ae21f5a3eaec1e7cb4239bf43c21.jpg,416,416,pistol,275,129,309,158
armas (1227).jpg.rf.5f5039b0b418e9e5da1d84830f8d302c.jpg,416,416,pistol,70,62,365,321
armas (1228).jpg.rf.412fee6184628f3f6ce51e7c411d0dd4.jpg,416,416,pistol,222,82,245,92
armas (1228).jpg.rf.412fee6184628f3f6ce51e7c411d0dd4.jpg,416,416,pistol,247,305,326,415
armas (1229).jpg.rf.276ad7f466faf77d0099a2ee9d4cb909.jpg,416,416,pistol,168,170,319,394
armas (1230).jpg.rf.d1161123d2457a2712c811da29d803cb.jpg,416,416,pistol,37,39,406,341
armas (1231).jpg.rf.fe47bd1e3ebf1952bc9818beede45956.jpg,416,416,pistol,227,125,312,254
armas (1232).jpg.rf.a8c12d2b23a143e8dff04113c0412267.jpg,416,416,pistol,40,26,253,235
armas (1233).jpg.rf.20c0a698b1a23a7efba73deb3af069a0.jpg,416,416,pistol,1,6,414,411
armas (1234).jpg.rf.a5fbf4c377457113337f4e1075f01d07.jpg,416,416,pistol,264,56,320,99
armas (1235).jpg.rf.45a3f6d3b4e6024453da7835ec2fe70c.jpg,416,416,pistol,20,14,369,345
armas (1236).jpg.rf.8b985197c0e844e0b0d5be840c50af79.jpg,416,416,pistol,22,67,404,367
armas (1237).jpg.rf.e6a354e93e95734faf1762340ac67231.jpg,416,416,pistol,1,56,411,367
armas (1238).jpg.rf.3a6ddc0fbdfb5a01a3498d77f2b177bc.jpg,416,416,pistol,9,48,398,378
armas (1239).jpg.rf.8f9b0351913d279a17981d000fd4b3c3.jpg,416,416,pistol,46,10,390,397
armas (1240).jpg.rf.ec2a649bdbc2dfd33bca38785208b414.jpg,416,416,pistol,172,15,397,280
armas (1241).jpg.rf.78bf8b23ceafd827374558c473daf957.jpg,416,416,pistol,47,51,359,367
armas (1242).jpg.rf.2be8a7bcb172d436c663fa637a4d1cb1.jpg,416,416,pistol,49,30,407,303
armas (1243).jpg.rf.7a5c0fc36e63baa040e66ec9183662d2.jpg,416,416,pistol,19,34,398,298
armas (1244).jpg.rf.a19c91b31d008a2dbee738f024b88957.jpg,416,416,pistol,17,34,398,374
armas (1245).jpg.rf.3b495e665cff30b306cb4764f15c1d8b.jpg,416,416,pistol,18,39,398,386
armas (1246).jpg.rf.2b6173a07c49e0ad3755b64134eeff25.jpg,416,416,pistol,100,110,312,210
armas (1247).jpg.rf.7ba3c6c4436feb1af02bd24782903510.jpg,416,416,pistol,61,1,406,406
armas (1248).jpg.rf.a9b36c6ee0ecf7ee449ad5970479eb96.jpg,416,416,pistol,72,68,157,116
armas (1248).jpg.rf.a9b36c6ee0ecf7ee449ad5970479eb96.jpg,416,416,pistol,45,262,133,316
armas (1248).jpg.rf.a9b36c6ee0ecf7ee449ad5970479eb96.jpg,416,416,pistol,280,282,364,326
armas (1248).jpg.rf.a9b36c6ee0ecf7ee449ad5970479eb96.jpg,416,416,pistol,259,58,364,114
armas (1249).jpg.rf.105fad6b34b54dd4b702ed6500849a06.jpg,416,416,pistol,9,55,404,378
armas (1250).jpg.rf.b1bfddd5ed6ac6eb207014e7df75d151.jpg,416,416,pistol,156,150,220,201
armas (1251).jpg.rf.3cb4a1ad6db9da4e2a6f120bbbba21ae.jpg,416,416,pistol,13,24,412,398
armas (1252).jpg.rf.1cac8f31d9a166ec3347df27fa49e2c7.jpg,416,416,pistol,17,18,406,398
armas (1252).jpg.rf.1cac8f31d9a166ec3347df27fa49e2c7.jpg,416,416,pistol,193,199,278,290
armas (1253).jpg.rf.825f8c56191b8bfe2aa6acc59dfafd15.jpg,416,416,pistol,6,1,372,410
armas (1254).jpg.rf.9d6a88c9c1959092f261c32439a43664.jpg,416,416,pistol,240,188,401,345
armas (1254).jpg.rf.9d6a88c9c1959092f261c32439a43664.jpg,416,416,pistol,193,79,341,266
armas (1254).jpg.rf.9d6a88c9c1959092f261c32439a43664.jpg,416,416,pistol,97,36,205,284
armas (1254).jpg.rf.9d6a88c9c1959092f261c32439a43664.jpg,416,416,pistol,11,120,159,342
armas (1255).jpg.rf.28c436e4752839158dadef1ad670ba28.jpg,416,416,pistol,2,1,182,180
armas (1255).jpg.rf.28c436e4752839158dadef1ad670ba28.jpg,416,416,pistol,66,8,357,189
armas (1255).jpg.rf.28c436e4752839158dadef1ad670ba28.jpg,416,416,pistol,126,113,415,317
armas (1255).jpg.rf.28c436e4752839158dadef1ad670ba28.jpg,416,416,pistol,93,243,415,413
armas (1256).jpg.rf.a1f91c10e275f5e641b0da256899fe77.jpg,416,416,pistol,4,106,399,281
armas (1257).jpg.rf.a0fd507cf74175a9c08a894b70f1d644.jpg,416,416,pistol,7,17,408,392
armas (1258).jpg.rf.b3b5d8ff5c9d1aa837927432f7d718c1.jpg,416,416,pistol,255,150,300,198
armas (1258).jpg.rf.b3b5d8ff5c9d1aa837927432f7d718c1.jpg,416,416,pistol,273,182,307,217
armas (1258).jpg.rf.b3b5d8ff5c9d1aa837927432f7d718c1.jpg,416,416,pistol,306,139,356,183
armas (1258).jpg.rf.b3b5d8ff5c9d1aa837927432f7d718c1.jpg,416,416,pistol,320,169,372,208
armas (1258).jpg.rf.b3b5d8ff5c9d1aa837927432f7d718c1.jpg,416,416,pistol,330,198,369,244
armas (1258).jpg.rf.b3b5d8ff5c9d1aa837927432f7d718c1.jpg,416,416,pistol,344,227,388,270
armas (1259).jpg.rf.59661b85b4083c94636efed624d2761e.jpg,416,416,pistol,220,271,301,360
armas (1260).jpg.rf.a37118b9ceaa9e8e1b1f30d1993f8209.jpg,416,416,pistol,156,140,203,217
armas (1260).jpg.rf.a37118b9ceaa9e8e1b1f30d1993f8209.jpg,416,416,pistol,231,114,269,235
armas (1261).jpg.rf.eab7422bbd6e6539daf4b184362afd1e.jpg,416,416,pistol,31,80,241,329
armas (1262).jpg.rf.316c2127f142d9d59b18c8c142c0f66d.jpg,416,416,pistol,234,225,340,343
armas (1263).jpg.rf.f1287c2f6bdf936950cda98b58dcf577.jpg,416,416,pistol,78,14,374,268
armas (1264).jpg.rf.57371e4f7504ad8eaa3875f144d697db.jpg,416,416,pistol,101,34,388,290
armas (1265).jpg.rf.ea835b144e3b03b8004bae0438d71abb.jpg,416,416,pistol,76,46,314,330
armas (1266).jpg.rf.c3407b18b4c0d24a19629809f49ba720.jpg,416,416,pistol,235,122,305,164
armas (1267).jpg.rf.cebc50b7c3144046e7d3c4346394e8c9.jpg,416,416,pistol,166,201,215,277
armas (1268).jpg.rf.4bd80ef53506e26b417eb2cab4aecd07.jpg,416,416,pistol,76,33,168,355
armas (1268).jpg.rf.4bd80ef53506e26b417eb2cab4aecd07.jpg,416,416,pistol,256,147,321,315
armas (1269).jpg.rf.6b65007b7e7e04d0364e54ec302f244d.jpg,416,416,pistol,78,31,171,351
armas (1269).jpg.rf.6b65007b7e7e04d0364e54ec302f244d.jpg,416,416,pistol,252,147,318,318
armas (1270).jpg.rf.2aef2bd996165f7cf7f988ca42f9ecd5.jpg,416,416,pistol,41,188,295,388
armas (1271).jpg.rf.afe867f2d28cb65b8ae064b1616a01ff.jpg,416,416,pistol,259,174,280,207
armas (1272).jpg.rf.fdbc07a0d825065f41f5e347c1cf93ca.jpg,416,416,pistol,203,166,238,192
armas (1273).jpg.rf.abf7e893fbf42620f05fc04963605fcf.jpg,416,416,pistol,184,112,209,135
armas (1274).jpg.rf.91d567fea34678aba4f1687382ddc47a.jpg,416,416,pistol,48,22,401,404
armas (1275).jpg.rf.79d237468d1e7e9ad6b49a2f023740f5.jpg,416,416,pistol,17,14,379,402
armas (1276).jpg.rf.23cf3bee07a2804edd2dcaf7753b7149.jpg,416,416,pistol,23,93,380,365
armas (1277).jpg.rf.b81ee16002d59ac87128de42eded11b9.jpg,416,416,pistol,175,70,242,277
armas (1278).jpg.rf.8f363d4ded5a8159870a99cc37ccacb9.jpg,416,416,pistol,18,54,236,219
armas (1279).jpg.rf.cc47f508848814a6c729b1782eab5c19.jpg,416,416,pistol,72,12,339,393
armas (1280).jpg.rf.73850e898176fa05a4456861107c087d.jpg,416,416,pistol,105,136,230,240
armas (1281).jpg.rf.5afee623e4ac5274e5c80c9f9e511f69.jpg,416,416,pistol,70,109,308,263
armas (1282).jpg.rf.d26a13ca3688200d8361ff3f15bd8d61.jpg,416,416,pistol,142,86,230,292
armas (1283).jpg.rf.fdbe12b57107085ba3434de671e51223.jpg,416,416,pistol,25,156,199,255
armas (1284).jpg.rf.b0c7a7482a1d76dd22ce8a35a26058ab.jpg,416,416,pistol,22,24,394,415
armas (1285).jpg.rf.acebc0c2bc5478f7263d6505629e16a1.jpg,416,416,pistol,28,32,391,389
armas (1286).jpg.rf.bcca021acdb1dc7ee50693657b3ab0a4.jpg,416,416,pistol,22,40,265,319
armas (1287).jpg.rf.0b0ab5787ebc74fdfd518f2910342331.jpg,416,416,pistol,160,18,221,233
armas (1288).jpg.rf.0fba67ab1da5a72e1567a3277c76a157.jpg,416,416,pistol,104,145,121,166
armas (1289).jpg.rf.78707f288d950c9c7235ba8bde387861.jpg,416,416,pistol,207,151,218,166
armas (1290).jpg.rf.9e20012b083b23882b360383bd326f1c.jpg,416,416,pistol,133,53,292,194
armas (1291).jpg.rf.64478d16d3ca603f5d7f7a2384480bcb.jpg,416,416,pistol,85,194,98,209
armas (1292).jpg.rf.fddd38a5cf4fbf3aac06e72898abbf85.jpg,416,416,pistol,113,159,195,260
armas (1292).jpg.rf.fddd38a5cf4fbf3aac06e72898abbf85.jpg,416,416,pistol,264,225,290,254
armas (1293).jpg.rf.e4ff2b23b86caf7c22285971428e9da0.jpg,416,416,pistol,41,12,159,215
armas (1294).jpg.rf.79364759264aabda9923d67d2f82294b.jpg,416,416,pistol,62,24,363,386
armas (1295).jpg.rf.e7f0542542c337974df2e3271220c006.jpg,416,416,pistol,58,75,237,401
armas (1295).jpg.rf.e7f0542542c337974df2e3271220c006.jpg,416,416,pistol,233,15,404,297
armas (1296).jpg.rf.6205085534734de36e59d580ec483140.jpg,416,416,pistol,68,177,308,366
armas (1297).jpg.rf.0b698f4ddff95618da804fb5396db012.jpg,416,416,pistol,180,102,355,415
armas (1297).jpg.rf.0b698f4ddff95618da804fb5396db012.jpg,416,416,pistol,23,146,231,415
armas (1298).jpg.rf.66d6562fb071df8b5eef78fb3d5c9658.jpg,416,416,pistol,58,19,385,307
armas (1299).jpg.rf.a5d0295e96976c9da6d8ea953f4a6a16.jpg,416,416,pistol,40,15,375,390
armas (1300).jpg.rf.b5ebcdc91981c6cc210e3379a5af5060.jpg,416,416,pistol,8,3,412,408
armas (1301).jpg.rf.077f5b4234e9c9b7ea3e4ae553bc7a74.jpg,416,416,pistol,42,63,398,352
armas (1302).jpg.rf.361b795843c27bec3e449633e12a3b8f.jpg,416,416,pistol,24,71,354,398
armas (1303).jpg.rf.4d83d0337e4647d037e2017bc15121b6.jpg,416,416,pistol,3,3,415,413
armas (1304).jpg.rf.e93a5eabbac890aee149e73fe056fc0b.jpg,416,416,pistol,1,203,412,413
armas (1304).jpg.rf.e93a5eabbac890aee149e73fe056fc0b.jpg,416,416,pistol,1,3,412,201
armas (1305).jpg.rf.3ec7c32d732253baf91c90d09c1a2f91.jpg,416,416,pistol,6,5,415,413
armas (1306).jpg.rf.549461e692756d4a158af908e7eb8843.jpg,416,416,pistol,7,13,413,403
armas (1307).jpg.rf.f097540b553767b916381018e1a39a80.jpg,416,416,pistol,17,23,392,398
armas (1308).jpg.rf.7f526ebe4f58364396a2f5ca2d838137.jpg,416,416,pistol,20,17,395,391
armas (1309).jpg.rf.c9595a5a7e499a656eb8dfe70108316e.jpg,416,416,pistol,200,126,377,387
armas (1310).jpg.rf.eb34dca8e734a8710aaab381b40b1f52.jpg,416,416,pistol,33,45,395,335
armas (1311).jpg.rf.e07f6dc575bda6830817b8b1a1f9d3dc.jpg,416,416,pistol,38,12,377,376
armas (1312).jpg.rf.cd1082bc614b53e35b2494050b18213e.jpg,416,416,pistol,15,6,398,391
armas (1313).jpg.rf.0ec88692286fc3b5f0631017d2d90ff6.jpg,416,416,pistol,12,24,404,403
armas (1314).jpg.rf.b26764c9c541fc483653bec7e61a82a0.jpg,416,416,pistol,16,26,403,407
armas (1315).jpg.rf.6b6a6012974aeb6bc2db6b3d85c61626.jpg,416,416,pistol,21,16,410,389
armas (1316).jpg.rf.8078996cc59f1dab335443d3f4d46329.jpg,416,416,pistol,11,31,406,399
armas (1317).jpg.rf.3d2e4c0b05515af5ff9391288e0b516c.jpg,416,416,pistol,15,20,399,382
armas (1318).jpg.rf.6b603f00d0e42964a0ab1be7ff1764cd.jpg,416,416,pistol,18,22,387,378
armas (1319).jpg.rf.dda09029ca40d24e591997f9e2d63ccd.jpg,416,416,pistol,33,16,391,394
armas (1320).jpg.rf.8bf0e347c42bc452bca7e4154047d44a.jpg,416,416,pistol,9,16,391,395
armas (1321).jpg.rf.a62278e2ed2220985cc5efa871abaa49.jpg,416,416,pistol,37,24,394,393
armas (1322).jpg.rf.9d0c2a5d3e8e58778402158be0fc07d3.jpg,416,416,pistol,17,39,412,394
armas (1323).jpg.rf.0edcc4709cc0ac7fdf257122e33287d5.jpg,416,416,pistol,30,43,379,392
armas (1324).jpg.rf.f4927486a9fc7693b2e3b54cbe62da71.jpg,416,416,pistol,22,23,393,373
armas (1325).jpg.rf.e99e55bf4f31b75c05ecf8150712b3d1.jpg,416,416,pistol,12,33,405,365
armas (1326).jpg.rf.042ca52924632634b7d4d8beb0534ab4.jpg,416,416,pistol,18,17,407,341
armas (1327).jpg.rf.ce0467fbb4087e02e30610d2c9d95a40.jpg,416,416,pistol,18,54,406,366
armas (1328).jpg.rf.bcba4d0a36f01bfafb5db500e535d548.jpg,416,416,pistol,38,108,124,159
armas (1328).jpg.rf.bcba4d0a36f01bfafb5db500e535d548.jpg,416,416,pistol,36,182,81,219
armas (1328).jpg.rf.bcba4d0a36f01bfafb5db500e535d548.jpg,416,416,pistol,46,226,69,252
armas (1328).jpg.rf.bcba4d0a36f01bfafb5db500e535d548.jpg,416,416,pistol,52,255,67,268
armas (1328).jpg.rf.bcba4d0a36f01bfafb5db500e535d548.jpg,416,416,pistol,54,275,64,283
armas (1329).jpg.rf.e0434cb4609f3e5a2ebca99eeee962f0.jpg,416,416,pistol,26,32,390,384
armas (1330).jpg.rf.3b7568f24a17f1078a8829b1b2b3a37e.jpg,416,416,pistol,2,60,406,389
armas (1331).jpg.rf.5156ecaebfe4e22b301e6b81afc1e3e9.jpg,416,416,pistol,4,1,416,414
armas (1332).jpg.rf.0ae179c649bdd0bd4c93af3fd7d4bcb0.jpg,416,416,pistol,129,300,249,369
armas (1332).jpg.rf.0ae179c649bdd0bd4c93af3fd7d4bcb0.jpg,416,416,pistol,264,72,391,136
armas (1332).jpg.rf.0ae179c649bdd0bd4c93af3fd7d4bcb0.jpg,416,416,pistol,145,115,254,174
armas (1332).jpg.rf.0ae179c649bdd0bd4c93af3fd7d4bcb0.jpg,416,416,pistol,89,19,209,88
armas (1333).jpg.rf.8427dda8be2242381a8fcb2c9292ffc7.jpg,416,416,pistol,0,59,403,299
armas (1334).jpg.rf.f33528c986de7c47ee928d378964b495.jpg,416,416,pistol,0,4,416,415
armas (1335).jpg.rf.cc3252ccc59a7e9b1d39fee04cbc9ee8.jpg,416,416,pistol,143,42,375,370
armas (1336).jpg.rf.181f5a98eb55b91a13be22f92e1bf529.jpg,416,416,pistol,29,37,415,334
armas (1337).jpg.rf.1eeffa46238340c5c9df7ca37a0e494e.jpg,416,416,pistol,73,82,352,331
armas (1338).jpg.rf.bf3567b72ce552e8cb56115ed192eb78.jpg,416,416,pistol,15,23,398,396
armas (1339).jpg.rf.bb1dee57ad9d1047d0c302bbae995b99.jpg,416,416,pistol,6,14,405,265
armas (1340).jpg.rf.2e109e22fa730ee4b25241b1ed3f467c.jpg,416,416,pistol,11,12,210,284
armas (1340).jpg.rf.2e109e22fa730ee4b25241b1ed3f467c.jpg,416,416,pistol,231,14,404,299
armas (1341).jpg.rf.bc1bf2ea03b7f76aa578c3eef3cddc2f.jpg,416,416,pistol,204,65,402,251
armas (1341).jpg.rf.bc1bf2ea03b7f76aa578c3eef3cddc2f.jpg,416,416,pistol,98,198,296,381
armas (1342).jpg.rf.3562493a1147f0e9bd800660d3011b2b.jpg,416,416,pistol,2,1,414,415
armas (1343).jpg.rf.d5acf0a0e6c62fd3c83d74c30fc485d0.jpg,416,416,pistol,69,29,346,371
armas (1344).jpg.rf.fa42158cf8d4d5cc655dd4efbf168284.jpg,416,416,pistol,37,23,195,367
armas (1344).jpg.rf.fa42158cf8d4d5cc655dd4efbf168284.jpg,416,416,pistol,190,28,347,366
armas (1345).jpg.rf.deb1d0de3e2299d09f5e28af432e88eb.jpg,416,416,pistol,10,46,415,377
armas (1345).jpg.rf.deb1d0de3e2299d09f5e28af432e88eb.jpg,416,416,pistol,246,245,415,402
armas (1346).jpg.rf.55466eca6eda54d716cc4a857ca353d3.jpg,416,416,pistol,60,24,336,387
armas (1347).jpg.rf.4bc615fe7f545824ce1747947de05340.jpg,416,416,pistol,28,39,390,371
armas (1348).jpg.rf.fbf484f39f90b1b91dae54ab0e6b47af.jpg,416,416,pistol,35,53,123,171
armas (1349).jpg.rf.f5c7d2595cfc5eab2f6106aef336ae9c.jpg,416,416,pistol,1,54,114,377
armas (1350).jpg.rf.4836bbcb6b62d0a80dcd21446c2ded17.jpg,416,416,pistol,76,45,379,319
armas (1351).jpg.rf.0ac538b0ac3e74393fa7e86085faae6f.jpg,416,416,pistol,122,20,303,406
armas (1352).jpg.rf.17f3fe0e6abae78f57f76d7fe30a1069.jpg,416,416,pistol,94,50,414,355
armas (1353).jpg.rf.2dcdda58c7901496510de5ab15a2b3b3.jpg,416,416,pistol,78,54,341,324
armas (1354).jpg.rf.c5afd33e584c940dc6686f22c1a92743.jpg,416,416,pistol,15,23,398,314
armas (1355).jpg.rf.be37714a5d8d8c27b391261828963531.jpg,416,416,pistol,231,108,264,123
armas (1356).jpg.rf.07f4c3be649ebc30a4f61e9a8e957818.jpg,416,416,pistol,1,1,415,408
armas (1357).jpg.rf.11ecc221735e8c91468106026b345f1d.jpg,416,416,pistol,111,1,415,299
armas (1358).jpg.rf.0215aa7b5c79bf070a9b371bed98b8e1.jpg,416,416,pistol,13,32,186,292
armas (1358).jpg.rf.0215aa7b5c79bf070a9b371bed98b8e1.jpg,416,416,pistol,222,37,398,301
armas (1359).jpg.rf.d19e240853f1d6d3abd830106115ed73.jpg,416,416,pistol,110,235,383,400
armas (1359).jpg.rf.d19e240853f1d6d3abd830106115ed73.jpg,416,416,pistol,27,17,338,179
armas (1360).jpg.rf.bd83db34848b3cac08b4407c481b9560.jpg,416,416,pistol,20,6,202,222
armas (1361).jpg.rf.fba7754ada32b67fec9f516be2714c18.jpg,416,416,pistol,233,92,357,301
armas (1361).jpg.rf.fba7754ada32b67fec9f516be2714c18.jpg,416,416,pistol,61,93,264,222
armas (1362).jpg.rf.dd140589690ff0175ecc9b8e113a3c2e.jpg,416,416,pistol,180,66,317,255
armas (1363).jpg.rf.04589545f888e3fd015e8b3a4ccd0646.jpg,416,416,pistol,6,250,324,355
armas (1364).jpg.rf.477b4757f383dbf405509bdbc7fa9d2d.jpg,416,416,pistol,54,191,400,393
armas (1365).jpg.rf.ec5a615e4d7f284a4c7b14eb2c2cb068.jpg,416,416,pistol,14,15,411,404
armas (1366).jpg.rf.57196a4e384c1cc4410e56ebc4fe86fd.jpg,416,416,pistol,101,141,157,229
armas (1367).jpg.rf.5485bdacf935766450e5c18113ed7f63.jpg,416,416,pistol,229,47,338,220
armas (1368).jpg.rf.220a50b36034065fbeda52336c7d93cd.jpg,416,416,pistol,277,88,367,207
armas (1369).jpg.rf.8b5af7f5510af4806d9fdb281c69a1b4.jpg,416,416,pistol,308,102,384,136
armas (1370).jpg.rf.1959eb215e92975d2d1c7901fd33e593.jpg,416,416,pistol,32,86,391,336
armas (1371).jpg.rf.a9cbd7ddea8f26b26afc1d194948ab3e.jpg,416,416,pistol,61,168,131,205
armas (1372).jpg.rf.6cf5ad923ab9196c75785471ec285d6e.jpg,416,416,pistol,25,77,304,414
armas (1373).jpg.rf.bc43bb4208802d69159a8887e66b9067.jpg,416,416,pistol,28,1,379,415
armas (1374).jpg.rf.80696ee258f794b4471b1a9ec74cf681.jpg,416,416,pistol,1,152,296,404
armas (1375).jpg.rf.1377f89db0417a7f79de22b51e94481c.jpg,416,416,pistol,77,1,415,412
armas (1376).jpg.rf.49d3dbf8e8ddbc1cd2e437e66619171d.jpg,416,416,pistol,21,92,415,369
armas (1377).jpg.rf.59b86d258f37ccc85a6ba30e344f0c17.jpg,416,416,pistol,145,102,394,341
armas (1378).jpg.rf.614a7b3ef7a36c74862f59483d5ef872.jpg,416,416,pistol,68,328,177,384
armas (1378).jpg.rf.614a7b3ef7a36c74862f59483d5ef872.jpg,416,416,pistol,236,321,384,396
armas (1378).jpg.rf.614a7b3ef7a36c74862f59483d5ef872.jpg,416,416,pistol,58,234,181,304
armas (1378).jpg.rf.614a7b3ef7a36c74862f59483d5ef872.jpg,416,416,pistol,201,229,364,304
armas (1378).jpg.rf.614a7b3ef7a36c74862f59483d5ef872.jpg,416,416,pistol,204,148,353,219
armas (1379).jpg.rf.c8962e0a3131cd362dc49705256b69e9.jpg,416,416,pistol,71,306,202,402
armas (1379).jpg.rf.c8962e0a3131cd362dc49705256b69e9.jpg,416,416,pistol,230,307,349,408
armas (1379).jpg.rf.c8962e0a3131cd362dc49705256b69e9.jpg,416,416,pistol,7,195,130,288
armas (1379).jpg.rf.c8962e0a3131cd362dc49705256b69e9.jpg,416,416,pistol,154,201,277,293
armas (1379).jpg.rf.c8962e0a3131cd362dc49705256b69e9.jpg,416,416,pistol,282,212,379,298
armas (1380).jpg.rf.33e6a27e021ae10d00377743e3f6aa3f.jpg,416,416,pistol,318,1,415,242
